Date;Year;Month;Area;Area.Type;Variable;Variable.Type;Generation (GWh);YoY change (%);YoY change (GWh);Cumul. Generation (GWh);Cumul. YoY change (%);Cumul. YoY change (GWh);;
ene-18;2018;1;Latvia;EU Country;Other fossil;Fossil;66;;;66;;;;
ene-18;2018;1;Latvia;EU Country;Bioenergy;Renewables;60;;;60;;;;
ene-18;2018;1;Latvia;EU Country;Hydro;Renewables;520;;;520;;;;
ene-18;2018;1;Latvia;EU Country;Wind;Renewables;12;;;12;;;;
ene-18;2018;1;Lithuania;EU Country;Demand;Demand;1135;;;1135;;;;
ene-18;2018;1;Lithuania;EU Country;Production;Production;295;;;295;;;;
ene-18;2018;1;Lithuania;EU Country;Net imports;Net imports;847;;;847;;;;
ene-18;2018;1;Lithuania;EU Country;Statistical difference;Statistical difference;-7;;;-7;;;;
ene-18;2018;1;Lithuania;EU Country;Gas;Fossil;35;;;35;;;;
ene-18;2018;1;Lithuania;EU Country;Other fossil;Fossil;15;;;15;;;;
ene-18;2018;1;Lithuania;EU Country;Bioenergy;Renewables;39;;;39;;;;
ene-18;2018;1;Lithuania;EU Country;Hydro;Renewables;53;;;53;;;;
ene-18;2018;1;Lithuania;EU Country;Solar;Renewables;1;;;1;;;;
ene-18;2018;1;Lithuania;EU Country;Wind;Renewables;139;;;139;;;;
ene-18;2018;1;Lithuania;EU Country;Waste;Waste;14;;;14;;;;
ene-18;2018;1;Luxembourg;EU Country;Demand;Demand;350;;;350;;;;
ene-18;2018;1;Luxembourg;EU Country;Production;Production;0;;;0;;;;
ene-18;2018;1;Luxembourg;EU Country;Net imports;Net imports;362;;;362;;;;
ene-18;2018;1;Luxembourg;EU Country;Statistical difference;Statistical difference;-12;;;-12;;;;
ene-18;2018;1;Netherlands;EU Country;Demand;Demand;10582;;;10582;;;;
ene-18;2018;1;Netherlands;EU Country;Production;Production;9642;;;9642;;;;
ene-18;2018;1;Netherlands;EU Country;Net imports;Net imports;449;;;449;;;;
ene-18;2018;1;Netherlands;EU Country;Statistical difference;Statistical difference;491;;;491;;;;
ene-18;2018;1;Netherlands;EU Country;Gas;Fossil;4884;;;4884;;;;
ene-18;2018;1;Netherlands;EU Country;Hard Coal;Fossil;2835;;;2835;;;;
ene-18;2018;1;Netherlands;EU Country;Bioenergy;Renewables;13;;;13;;;;
ene-18;2018;1;Netherlands;EU Country;Solar;Renewables;62;;;62;;;;
ene-18;2018;1;Netherlands;EU Country;Wind;Renewables;1424;;;1424;;;;
ene-18;2018;1;Netherlands;EU Country;Nuclear;Nuclear;362;;;362;;;;
ene-18;2018;1;Netherlands;EU Country;Waste;Waste;63;;;63;;;;
ene-18;2018;1;Poland;EU Country;Demand;Demand;15413;;;15413;;;;
